account_id,english_name,dealer_code,date,monthly_value
0960P,Owner(s),80475,2022-01-01,1.0
0960P,Owner(s),80475,2022-02-01,1.0
0960P,Owner(s),80475,2022-03-01,1.0
0960P,Owner(s),80475,2022-04-01,1.0
0960P,Owner(s),80475,2022-05-01,1.0
0960P,Owner(s),80475,2022-06-01,1.0
0960P,Owner(s),80475,2022-07-01,1.0
0960P,Owner(s),80475,2022-08-01,1.0
0960P,Owner(s),80475,2022-09-01,1.0
0960P,Owner(s),80475,2022-10-01,1.0
0960P,Owner(s),80475,2022-11-01,1.0
0960P,Owner(s),80475,2022-12-01,1.0
0960P,Owner(s),80475,2023-01-01,1.0
0960P,Owner(s),80475,2023-02-01,1.0
0960P,Owner(s),80475,2023-03-01,1.0
0960P,Owner(s),80475,2023-04-01,1.0
0960P,Owner(s),80475,2023-05-01,1.0
0960P,Owner(s),80475,2023-06-01,1.0
0960P,Owner(s),80475,2023-07-01,1.0
0960P,Owner(s),80475,2023-08-01,1.0
0960P,Owner(s),80475,2023-09-01,1.0
0960P,Owner(s),80475,2023-10-01,1.0
0960P,Owner(s),80475,2023-11-01,1.0
0960P,Owner(s),80475,2023-12-01,1.0
0960P,Owner(s),80475,2024-01-01,1.0
0960P,Owner(s),80475,2024-02-01,1.0
0960P,Owner(s),80475,2024-03-01,1.0
0960P,Owner(s),80475,2024-04-01,1.0
0960P,Owner(s),80475,2024-05-01,1.0
0960P,Owner(s),80475,2024-06-01,1.0
0960P,Owner(s),80475,2024-07-01,1.0
0960P,Owner(s),80475,2024-08-01,1.0
0960P,Owner(s),80475,2024-09-01,1.0
0960P,Owner(s),80475,2024-10-01,1.0
0960P,Owner(s),80475,2024-11-01,1.0
0960P,Owner(s),80475,2024-12-01,1.0
0961P,Manager(s),80475,2022-01-01,1.0
0961P,Manager(s),80475,2022-02-01,1.0
0961P,Manager(s),80475,2022-03-01,2.0
0961P,Manager(s),80475,2022-04-01,2.0
0961P,Manager(s),80475,2022-05-01,1.0
0961P,Manager(s),80475,2022-06-01,1.0
0961P,Manager(s),80475,2022-07-01,1.0
0961P,Manager(s),80475,2022-08-01,1.0
0961P,Manager(s),80475,2022-09-01,1.0
0961P,Manager(s),80475,2022-10-01,1.0
0961P,Manager(s),80475,2022-11-01,1.0
0961P,Manager(s),80475,2022-12-01,1.0
0961P,Manager(s),80475,2023-01-01,1.0
0961P,Manager(s),80475,2023-02-01,1.0
0961P,Manager(s),80475,2023-03-01,1.0
0961P,Manager(s),80475,2023-04-01,1.0
0961P,Manager(s),80475,2023-05-01,1.0
0961P,Manager(s),80475,2023-06-01,1.0
0961P,Manager(s),80475,2023-07-01,1.0
0961P,Manager(s),80475,2023-08-01,1.0
0961P,Manager(s),80475,2023-09-01,1.0
0961P,Manager(s),80475,2023-10-01,1.0
0961P,Manager(s),80475,2023-11-01,1.0
0961P,Manager(s),80475,2023-12-01,1.0
0961P,Manager(s),80475,2024-01-01,1.0
0961P,Manager(s),80475,2024-02-01,1.0
0961P,Manager(s),80475,2024-03-01,1.0
0961P,Manager(s),80475,2024-04-01,1.0
0961P,Manager(s),80475,2024-05-01,1.0
0961P,Manager(s),80475,2024-06-01,1.0
0961P,Manager(s),80475,2024-07-01,1.0
0961P,Manager(s),80475,2024-08-01,1.0
0961P,Manager(s),80475,2024-09-01,1.0
0961P,Manager(s),80475,2024-10-01,1.0
0961P,Manager(s),80475,2024-11-01,1.0
0961P,Manager(s),80475,2024-12-01,1.0
0962P,Sales Reps,80475,2022-01-01,3.0
0962P,Sales Reps,80475,2022-02-01,2.0
0962P,Sales Reps,80475,2022-03-01,1.0
0962P,Sales Reps,80475,2022-04-01,2.0
0962P,Sales Reps,80475,2022-05-01,2.0
0962P,Sales Reps,80475,2022-06-01,2.0
0962P,Sales Reps,80475,2022-07-01,2.0
0962P,Sales Reps,80475,2022-08-01,2.0
0962P,Sales Reps,80475,2022-09-01,2.0
0962P,Sales Reps,80475,2022-10-01,2.0
0962P,Sales Reps,80475,2022-11-01,2.0
0962P,Sales Reps,80475,2022-12-01,2.0
0962P,Sales Reps,80475,2023-01-01,2.0
0962P,Sales Reps,80475,2023-02-01,2.0
0962P,Sales Reps,80475,2023-03-01,3.0
0962P,Sales Reps,80475,2023-04-01,3.0
0962P,Sales Reps,80475,2023-05-01,3.0
0962P,Sales Reps,80475,2023-06-01,4.0
0962P,Sales Reps,80475,2023-07-01,4.0
0962P,Sales Reps,80475,2023-08-01,4.0
0962P,Sales Reps,80475,2023-09-01,4.0
0962P,Sales Reps,80475,2023-10-01,4.0
0962P,Sales Reps,80475,2023-11-01,4.0
0962P,Sales Reps,80475,2023-12-01,4.0
0962P,Sales Reps,80475,2024-01-01,4.0
0962P,Sales Reps,80475,2024-02-01,4.0
0962P,Sales Reps,80475,2024-03-01,4.0
0962P,Sales Reps,80475,2024-04-01,3.0
0962P,Sales Reps,80475,2024-05-01,3.0
0962P,Sales Reps,80475,2024-06-01,3.0
0962P,Sales Reps,80475,2024-07-01,3.0
0962P,Sales Reps,80475,2024-08-01,3.0
0962P,Sales Reps,80475,2024-09-01,3.0
0962P,Sales Reps,80475,2024-10-01,3.0
0962P,Sales Reps,80475,2024-11-01,3.0
0962P,Sales Reps,80475,2024-12-01,3.0
0963P,F&I Sales Reps,80475,2022-01-01,1.0
0963P,F&I Sales Reps,80475,2022-02-01,1.0
0963P,F&I Sales Reps,80475,2022-03-01,1.0
0963P,F&I Sales Reps,80475,2022-04-01,1.0
0963P,F&I Sales Reps,80475,2022-05-01,1.0
0963P,F&I Sales Reps,80475,2022-06-01,1.0
0963P,F&I Sales Reps,80475,2022-07-01,1.0
0963P,F&I Sales Reps,80475,2022-08-01,1.0
0963P,F&I Sales Reps,80475,2022-09-01,1.0
0963P,F&I Sales Reps,80475,2022-10-01,1.0
0963P,F&I Sales Reps,80475,2022-11-01,1.0
0963P,F&I Sales Reps,80475,2022-12-01,1.0
0963P,F&I Sales Reps,80475,2023-01-01,1.0
0963P,F&I Sales Reps,80475,2023-02-01,1.0
0963P,F&I Sales Reps,80475,2023-03-01,1.0
0963P,F&I Sales Reps,80475,2023-04-01,1.0
0963P,F&I Sales Reps,80475,2023-05-01,1.0
0963P,F&I Sales Reps,80475,2023-06-01,1.0
0963P,F&I Sales Reps,80475,2023-07-01,1.0
0963P,F&I Sales Reps,80475,2023-08-01,1.0
0963P,F&I Sales Reps,80475,2023-09-01,1.0
0963P,F&I Sales Reps,80475,2023-10-01,1.0
0963P,F&I Sales Reps,80475,2023-11-01,1.0
0963P,F&I Sales Reps,80475,2023-12-01,1.0
0963P,F&I Sales Reps,80475,2024-01-01,1.0
0963P,F&I Sales Reps,80475,2024-02-01,1.0
0963P,F&I Sales Reps,80475,2024-03-01,1.0
0963P,F&I Sales Reps,80475,2024-04-01,2.0
0963P,F&I Sales Reps,80475,2024-05-01,2.0
0963P,F&I Sales Reps,80475,2024-06-01,2.0
0963P,F&I Sales Reps,80475,2024-07-01,2.0
0963P,F&I Sales Reps,80475,2024-08-01,2.0
0963P,F&I Sales Reps,80475,2024-09-01,2.0
0963P,F&I Sales Reps,80475,2024-10-01,2.0
0963P,F&I Sales Reps,80475,2024-11-01,2.0
0963P,F&I Sales Reps,80475,2024-12-01,2.0
0964P,Clerical / Other,80475,2022-01-01,1.0
0964P,Clerical / Other,80475,2022-02-01,1.0
0964P,Clerical / Other,80475,2022-03-01,1.0
0964P,Clerical / Other,80475,2022-04-01,1.0
0964P,Clerical / Other,80475,2022-05-01,1.0
0964P,Clerical / Other,80475,2022-06-01,1.0
0964P,Clerical / Other,80475,2022-07-01,1.0
0964P,Clerical / Other,80475,2022-08-01,1.0
0964P,Clerical / Other,80475,2022-09-01,1.0
0964P,Clerical / Other,80475,2022-10-01,1.0
0964P,Clerical / Other,80475,2022-11-01,1.0
0964P,Clerical / Other,80475,2022-12-01,1.0
0964P,Clerical / Other,80475,2023-01-01,1.0
0964P,Clerical / Other,80475,2023-02-01,1.0
0964P,Clerical / Other,80475,2023-03-01,2.0
0964P,Clerical / Other,80475,2023-04-01,2.0
0964P,Clerical / Other,80475,2023-05-01,2.0
0964P,Clerical / Other,80475,2023-06-01,3.0
0964P,Clerical / Other,80475,2023-07-01,3.0
0964P,Clerical / Other,80475,2023-08-01,3.0
0964P,Clerical / Other,80475,2023-09-01,3.0
0964P,Clerical / Other,80475,2023-10-01,3.0
0964P,Clerical / Other,80475,2023-11-01,3.0
0964P,Clerical / Other,80475,2023-12-01,3.0
0964P,Clerical / Other,80475,2024-01-01,3.0
0964P,Clerical / Other,80475,2024-02-01,3.0
0964P,Clerical / Other,80475,2024-03-01,1.0
0964P,Clerical / Other,80475,2024-04-01,1.0
0964P,Clerical / Other,80475,2024-05-01,1.0
0964P,Clerical / Other,80475,2024-06-01,1.0
0964P,Clerical / Other,80475,2024-07-01,1.0
0964P,Clerical / Other,80475,2024-08-01,1.0
0964P,Clerical / Other,80475,2024-09-01,1.0
0964P,Clerical / Other,80475,2024-10-01,1.0
0964P,Clerical / Other,80475,2024-11-01,1.0
0964P,Clerical / Other,80475,2024-12-01,1.0
0965PZ,Advisors ,80475,2022-01-01,0.0
0965PZ,Advisors ,80475,2022-02-01,0.0
0965PZ,Advisors ,80475,2022-03-01,0.0
0965PZ,Advisors ,80475,2022-04-01,0.0
0965PZ,Advisors ,80475,2022-05-01,0.0
0965PZ,Advisors ,80475,2022-06-01,0.0
